City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,walvis bay,-22.9575,14.5053,286.68,94,100,3.09,NA,1698642097
312,richards bay,-28.783,32.0377,288.69,63,97,6.22,ZA,1698642098
313,mirny,62.5353,113.9611,265.34,84,100,3.07,RU,1698642090
314,newman,37.3138,-121.0208,285.53,25,0,1.47,US,1698642099
315,saint-joseph,-21.3667,55.6167,300.08,77,24,4.62,RE,1698642099
316,hithadhoo,-0.6,73.0833,300.4,77,39,6.8,MV,1698642100
317,sao jose da coroa grande,-8.8978,-35.1478,297.81,71,78,3.84,BR,1698642101
318,ugoofaaru,5.6667,73.0,298.46,83,100,1.79,MV,1698642101
319,ciudad acuna,29.3232,-100.9522,280.31,85,100,10.29,MX,1698642102
320,ephraim,39.3597,-111.5863,271.63,59,1,0.51,US,1698642102
321,rupert,42.6191,-113.6772,271.62,37,40,1.17,US,1698642103
322,qaqortoq,60.7167,-46.0333,277.55,72,100,7.97,GL,1698642103
323,imatra,61.1719,28.7524,270.36,87,59,3.72,FI,1698642104
324,ascension,30.2169,-90.9001,296.08,94,0,0.0,US,1698642105
325,dakhla,23.6848,-15.958,293.43,89,3,5.14,EH,1698642105
326,natal,-5.795,-35.2094,298.27,78,40,4.12,BR,1698642045
327,soio,-6.1349,12.3689,298.5,90,99,3.43,AO,1698642106
328,yibin,28.7667,104.6238,297.26,56,19,1.65,CN,1698642107
329,ende,-8.8432,121.6623,305.66,52,97,1.88,ID,1698642108
330,balnearia,-31.0088,-62.6673,293.46,79,96,5.18,AR,1698642108
331,kapa'a,22.0752,-159.319,297.65,77,41,4.65,US,1698642109
332,tanaina,61.6269,-149.4281,278.06,64,100,1.79,US,1698642109
333,nemuro,43.3236,145.575,283.21,65,8,2.12,JP,1698642110
334,dryden,49.7833,-92.7503,267.31,86,100,4.12,CA,1698641901
335,palmer,42.1584,-72.3287,281.62,84,100,2.57,US,1698642111
336,luganville,-15.5333,167.1667,299.38,78,74,3.32,VU,1698642112
337,souillac,-20.5167,57.5167,300.36,69,40,5.66,MU,1698642063
338,kupang,-10.1667,123.5833,306.47,62,20,7.72,ID,1698642113
339,twon-brass,4.3151,6.2418,298.48,83,100,1.95,NG,1698642114
340,santyoku,37.4406,129.1708,291.89,50,100,2.48,KR,1698642114
341,juneau,58.3019,-134.4197,276.16,100,100,1.04,US,1698642065
342,kirakira,-10.4544,161.9205,301.64,78,91,4.21,SB,1698642115
343,ujae,8.9322,165.7642,301.99,76,19,6.88,MH,1698642116
344,port alfred,-33.5906,26.891,285.47,91,99,6.96,ZA,1698642117
345,carnarvon,-24.8667,113.6333,297.34,54,0,8.76,AU,1698642117
346,luderitz,-26.6481,15.1594,293.01,37,11,2.69,NA,1698642118
347,holualoa,19.6228,-155.9522,299.06,74,0,0.45,US,1698642118
348,kailua-kona,19.6406,-155.9956,301.13,74,0,0.45,US,1698642065
349,usinsk,65.9939,57.5281,261.52,87,100,2.68,RU,1698642117
350,lana,46.6124,11.1559,286.18,93,100,0.98,IT,1698642120
351,ain touta,35.3768,5.9,290.72,36,99,3.36,DZ,1698642121
352,khovd,48.0056,91.6419,279.18,47,100,1.59,MN,1698642121
353,saudarkrokur,65.7461,-19.6394,272.35,81,22,3.63,IS,1698642122
354,pisco,-13.7,-76.2167,292.18,82,77,4.12,PE,1698642123
355,cabo san lucas,22.8909,-109.9124,298.43,77,0,0.45,MX,1698642123
356,greenville,35.6127,-77.3663,292.16,94,0,3.6,US,1698641940
357,bomdila,27.25,92.4,291.09,52,49,2.43,IN,1698642124
358,dunedin,-45.8742,170.5036,287.48,70,5,2.68,NZ,1698642119
359,inarajan village,13.2736,144.7484,304.69,91,41,4.65,GU,1698642126
360,thohoyandou,-22.9456,30.485,284.33,66,100,4.79,ZA,1698642126
361,colonia,50.9333,6.95,285.91,82,0,4.12,DE,1698642127
362,tazovsky,67.4667,78.7,257.79,91,21,0.7,RU,1698642127
363,bol,13.4586,14.7147,301.06,38,10,7.09,TD,1698642128
